OBJECTID,Join_Count,TARGET_FID,BUSHALTEST,LINK_STW,DATUM,HST_ID,GKZ,Ort,Haltestelle,RegStopNo,GID,Typ,Y,X,ID_EFA,x2,y2
101,1,101,"Sternenplatz/Spanierstraße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6732.htm,6/17/2011 12:00:00 AM,6732,8335043,Konstanz,Konstanz Sternenpl./Spanierstr.,35269,11920,|- Steig,47.66751892,9.17884184,8711920,513433.6737,5279367.1236
102,1,102,"Hallenbad, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6734.htm,6/17/2011 12:00:00 AM,6734,8335043,Konstanz,Konstanz Hallenbad,35219,11854,|- Steig,47.668874,9.17633554,8711854,513225.7332,5279527.112
103,1,103,"Jacob-Burckhardt-Straße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6904.htm,6/17/2011 12:00:00 AM,6904,8335043,Konstanz,Konstanz Jacob-Burckhardt-Str.,35224,11862,|- Steig,47.68233214,9.18379156,8711862,513798.3014,5281003.8147
104,1,104,"Schottenplatz, Richtung Bahnhof",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6585.htm,6/17/2011 12:00:00 AM,6585,8335043,Konstanz,Konstanz Schottenplatz,35256,11903,|- Steig,47.66572823,9.17397297,8711903,513059.5818,5279172.0453
105,1,105,"Klinikum, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6731.htm,6/17/2011 12:00:00 AM,6731,8335043,Konstanz,Konstanz Klinikum Konstanz,35230,11869,|- Steig,47.67044682,9.18799568,8711869,514105.2335,5279682.1245
106,1,106,"Bodensee-Therme, Richtung Bodensee-Station",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6736.htm,6/17/2011 12:00:00 AM,6736,8335043,Konstanz,Konstanz Bodensee-Therme,35185,11815,Haltestelle,47.66469976,9.20834252,8711815,515639.7803,5279049.6184
107,1,107,"Bismarcksteig, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6898.htm,6/17/2011 12:00:00 AM,6898,8335043,Konstanz,Konstanz Bismarcksteig,35180,11809,|- Steig,47.67538273,9.18070136,8711809,513580.4928,5280237.3669
108,1,108,"Allmannsdorf, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6722.htm,6/17/2011 12:00:00 AM,6722,8335043,Allmannsdorf (Konst),Konstanz Allmannsdorf,35176,11801,Haltestelle,47.68216885,9.20251245,8711801,515193.262,5281001.7732
109,1,109,"Bismarcksteig, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6897.htm,6/17/2011 12:00:00 AM,6897,8335043,Konstanz,Konstanz Bismarcksteig,35180,11809,|- Steig,47.67549161,9.18031508,8711809,513532.026600001,5280247.221
110,1,110,"Am Rheinufer, Richtung Innenstadt", ,3/12/2020 12:00:00 AM,6823,8335043,Konstanz,Konstanz Am Rheinufer,35324,71100,|- Steig,47.67079767,9.17265245,8771100,512953.9756,5279725.6537
111,1,111,"Schwaketenbad, stadtauswärts Richtung Urisberg",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6885.htm,6/17/2011 12:00:00 AM,6885,8335043,Konstanz,Konstanz Schwaketenbad,35259,11906,Haltestelle,47.68782328,9.16046231,8711906,512055.133,5281622.1607
112,1,112,"Klinikum, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6730.htm,6/17/2011 12:00:00 AM,6730,8335043,Konstanz,Konstanz Klinikum Konstanz,35230,11869,|- Steig,47.67020485,9.18708838,8711869,514045.0491,5279669.8699
113,1,113,"Pfeiferhölzle, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6908.htm,6/17/2011 12:00:00 AM,6908,8335043,Konstanz,Konstanz Pfeiferhölzle,35244,11889,|- Steig,47.68266477,9.1758235,8711889,513200.9665,5281042.963
114,1,114,"Brandenburger Straße, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6847.htm,6/17/2011 12:00:00 AM,6847,8335043,Konstanz,Konstanz Brandenburger Straße,35186,11816,Haltestelle,47.68572486,9.14629588,8711816,510973.7137,5281380.6339
115,1,115,"Pfeiferhölzle-Wendeplatz, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6910.htm,6/17/2011 12:00:00 AM,6910,8335043,Konstanz,Konstanz Pfeiferhölzle Wendeplatte,35245,11890,Haltestelle,47.68279782,9.17364958,8711890,513032.1837,5281063.4245
116,1,116,"Schnetztor, Richtung Bahnhof",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6580.htm,6/17/2011 12:00:00 AM,6580,8335043,Konstanz,Konstanz Schnetztor,35255,11902,|- Steig,47.65837122,9.17163735,8711902,512894.5458,5278339.3327
117,1,117,"Königsbau, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6901.htm,6/17/2011 12:00:00 AM,6901,8335043,Konstanz,Konstanz Königsbau,35228,11867,|- Steig,47.67846744,9.18517497,8711867,513892.2977,5280582.3397
118,1,118,"Jacob-Burckhardt-Straße, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6903.htm,6/17/2011 12:00:00 AM,6903,8335043,Konstanz,Konstanz Jacob-Burckhardt-Str.,35224,11862,|- Steig,47.68170921,9.18373766,8711862,513785.8279,5280947.362
119,1,119,"Rosenau, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6740.htm,6/17/2011 12:00:00 AM,6740,8335043,Konstanz,Konstanz Rosenau,35250,11897,Haltestelle,47.66702286,9.19882936,8711897,514927.2837,5279320.0189
120,1,120,"Sternenplatz, Richtung Altstadt", ,3/12/2020 12:00:00 AM,6568,8335043,Konstanz,Konstanz Sternenplatz,35268,11918,|- Steig,47.66753707,9.17931795,8711918,513461.4973,5279377.882
121,1,121,"Friedrichstraße, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6899.htm,6/17/2011 12:00:00 AM,6899,8335043,Konstanz,Konstanz Friedrichstraße,35211,11845,|- Steig,47.67598759,9.18415987,8711845,513820.5027,5280311.6419
122,1,122,"Zähringerplatz, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6895.htm,6/17/2011 12:00:00 AM,6895,8335043,Konstanz,Konstanz Zähringerplatz,35284,11935,|- Steig,47.67270312,9.18362088,8711935,513781.2028,5279956.1361
123,1,123,"Gutenbergweg, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6878.htm,6/17/2011 12:00:00 AM,6878,8335043,Konstanz,Konstanz Gutenbergweg,35218,11853,|- Steig,47.68689805,9.16145046,8711853,512112.3904,5281522.3128
124,1,124,"Danziger Straße, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6909.htm,6/17/2011 12:00:00 AM,6909,8335043,Konstanz,Konstanz Danziger Straße,35194,11827,|- Steig,47.68158826,9.18081814,8711827,513561.1955,5280915.1282
125,1,125,"Buhlenweg, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6876.htm,6/17/2011 12:00:00 AM,6876,8335043,Konstanz,Konstanz Buhlenweg,35191,11823,Haltestelle,47.68375336,9.15872856,8711823,511915.309,5281172.6366
126,1,126,"Carl-Benz-Straße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6835.htm,6/17/2011 12:00:00 AM,6835,8335043,Konstanz,Konstanz Carl-Benz-Straße,35193,11826,|- Steig,47.67623558,9.14864048,8711826,511161.3718,5280331.2944
127,1,127,"Kliniken Schmieder, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6738.htm,6/17/2011 12:00:00 AM,6738,8335043,Konstanz,Konstanz Kliniken Schmieder,35227,11865,|- Steig,47.66595812,9.2040845,8711865,515300.5835,5279199.5686
128,1,128,"Reute-/Winkelstraße, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6853.htm,6/17/2011 12:00:00 AM,6853,8335043,Konstanz,Konstanz Reute-/Winkelstraße,35247,11894,|- Steig,47.68088669,9.15645583,8711894,511736.2301,5280845.6383
129,1,129,"Elberfeldstraße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6856.htm,6/17/2011 12:00:00 AM,6856,8335043,Konstanz,Konstanz Elberfeldstraße,35205,11838,Haltestelle,47.68014279,9.15974366,8711838,511988.4465,5280765.9719
130,1,130,"Ellenrieder-Gymasium, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6789.htm,6/17/2011 12:00:00 AM,6789,8335043,Konstanz,Konstanz Ellenrieder Gymnasium,35206,11839,|- Steig,47.66549229,9.17085582,8711839,512824.4117,5279133.6106
131,1,131,"Bücklestraße, Richtung Wollmatingen",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6970.htm,6/17/2011 12:00:00 AM,6970,8335043,Konstanz,Konstanz Bücklestraße,35190,11822,Haltestelle,47.67582428,9.17194278,8711822,512901.0287,5280290.5969
132,1,132,"Friedhof, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6891.htm,6/17/2011 12:00:00 AM,6891,8335043,Konstanz,Konstanz Friedhof,35210,11844,|- Steig,47.67766906,9.1744401,8711844,513086.2784,5280488.5911
133,1,133,"Friedhof, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6892.htm,6/17/2011 12:00:00 AM,6892,8335043,Konstanz,Konstanz Friedhof,35210,11844,|- Steig,47.67834648,9.17297584,8711844,512993.3635,5280569.2898
134,1,134,"Königsbau, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6902.htm,6/17/2011 12:00:00 AM,6902,8335043,Konstanz,Konstanz Königsbau,35228,11867,|- Steig,47.67818922,9.18534565,8711867,513917.8301,5280540.0469
135,1,135,"Fürstenberg, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6888.htm,6/17/2011 12:00:00 AM,6888,8335043,Konstanz,Konstanz Fürstenberg,35213,11847,|- Steig,47.68100765,9.16187267,8711847,512159.5096,5280854.8891
136,1,136,Grundschule Wollmatingen,http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6973.htm,6/17/2011 12:00:00 AM,6973,8335043,Wollmatingen,Wollmatingen Grundschule,35068,3262,|- Steig,47.68980672,9.14918846,8703262,511199.2093,5281830.6228
137,1,137,"Geschwister-Scholl-Schule, Richtung Universität",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6880.htm,6/17/2011 12:00:00 AM,6880,8335043,Konstanz,Konstanz Geschw.-Scholl-Schule,35217,11852,|- Steig,47.68831914,9.16364235,8711852,512269.7104,5281667.8621
138,1,138,"Hebelstraße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6743.htm,6/17/2011 12:00:00 AM,6743,8335043,Konstanz,Konstanz Hebelstraße,35222,11857,Haltestelle,47.66883166,9.19272081,8711857,514465.3994,5279508.0456
139,1,139,"Dingelsdorf-Klausenhorn, nach Wallhausen-Dettingen",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6574.htm,6/17/2011 12:00:00 AM,6574,8335043,Dingelsdorf,Dingelsdorf Klausenhorn,35199,11832,|- Steig,47.74273907,9.14751759,8711832,511066.7444,5287717.0465
