label,percent,agency
-5–,,bayerische regiobahn
-4–,,bayerische regiobahn
-3–,,bayerische regiobahn
-2–,,bayerische regiobahn
-1–,,bayerische regiobahn
0–,73.5%,bayerische regiobahn
1–,7.65%,bayerische regiobahn
2–,5.22%,bayerische regiobahn
3–,2.49%,bayerische regiobahn
4–,2.13%,bayerische regiobahn
5–,1.84%,bayerische regiobahn
6–,0.593%,bayerische regiobahn
7–,0.474%,bayerische regiobahn
8–,0.652%,bayerische regiobahn
9–,0.415%,bayerische regiobahn
10–,0.356%,bayerische regiobahn
11–,2.61%,bayerische regiobahn
16–,0.474%,bayerische regiobahn
21–,0.237%,bayerische regiobahn
26–,0.119%,bayerische regiobahn
31–,0.0593%,bayerische regiobahn
46–,,bayerische regiobahn
61–,,bayerische regiobahn
76–,,bayerische regiobahn
91–,,bayerische regiobahn
cancelled,1.19%,bayerische regiobahn
substituted,,cantus verkehrsgesellschaft
-5–,,cantus verkehrsgesellschaft
-4–,,cantus verkehrsgesellschaft
-3–,,cantus verkehrsgesellschaft
-2–,,cantus verkehrsgesellschaft
-1–,,cantus verkehrsgesellschaft
0–,66.4%,cantus verkehrsgesellschaft
1–,13.7%,cantus verkehrsgesellschaft
2–,5.21%,cantus verkehrsgesellschaft
3–,2.28%,cantus verkehrsgesellschaft
4–,1.95%,cantus verkehrsgesellschaft
5–,0.977%,cantus verkehrsgesellschaft
6–,1.30%,cantus verkehrsgesellschaft
7–,0.651%,cantus verkehrsgesellschaft
8–,0.977%,cantus verkehrsgesellschaft
9–,1.30%,cantus verkehrsgesellschaft
10–,1.30%,cantus verkehrsgesellschaft
11–,0.977%,cantus verkehrsgesellschaft
16–,0.326%,cantus verkehrsgesellschaft
21–,,cantus verkehrsgesellschaft
26–,,cantus verkehrsgesellschaft
31–,0.326%,cantus verkehrsgesellschaft
46–,0.326%,cantus verkehrsgesellschaft
61–,,cantus verkehrsgesellschaft
76–,,cantus verkehrsgesellschaft
91–,,cantus verkehrsgesellschaft
cancelled,1.95%,cantus verkehrsgesellschaft
substituted,,ceske drahy
-5–,,ceske drahy
-4–,,ceske drahy
-3–,,ceske drahy
-2–,,ceske drahy
-1–,,ceske drahy
0–,29.9%,ceske drahy
1–,28.7%,ceske drahy
2–,11.1%,ceske drahy
3–,6.64%,ceske drahy
4–,3.82%,ceske drahy
5–,2.04%,ceske drahy
6–,1.54%,ceske drahy
7–,1.50%,ceske drahy
8–,1.16%,ceske drahy
9–,1.07%,ceske drahy
10–,0.905%,ceske drahy
11–,3.24%,ceske drahy
16–,2.08%,ceske drahy
21–,1.38%,ceske drahy
26–,0.760%,ceske drahy
31–,1.76%,ceske drahy
46–,1.10%,ceske drahy
61–,0.525%,ceske drahy
76–,0.127%,ceske drahy
91–,0.326%,ceske drahy
cancelled,0.271%,ceske drahy
substituted,,cfl
-5–,,cfl
-4–,,cfl
-3–,,cfl
-2–,,cfl
-1–,,cfl
0–,60.5%,cfl
1–,16.6%,cfl
2–,10.8%,cfl
3–,4.48%,cfl
4–,4.04%,cfl
5–,2.24%,cfl
6–,0.448%,cfl
7–,,cfl
8–,,cfl
9–,,cfl
10–,,cfl
11–,0.448%,cfl
16–,,cfl
21–,,cfl
26–,,cfl
31–,0.448%,cfl
46–,,cfl
61–,,cfl
76–,,cfl
91–,,cfl
substituted,,city-bahn chemnitz
-5–,,city-bahn chemnitz
-4–,,city-bahn chemnitz
-3–,,city-bahn chemnitz
-2–,,city-bahn chemnitz
-1–,,city-bahn chemnitz
0–,85.1%,city-bahn chemnitz
1–,4.55%,city-bahn chemnitz
2–,2.07%,city-bahn chemnitz
3–,2.07%,city-bahn chemnitz
4–,1.24%,city-bahn chemnitz
5–,,city-bahn chemnitz
6–,2.48%,city-bahn chemnitz
7–,1.24%,city-bahn chemnitz
8–,,city-bahn chemnitz
9–,1.24%,city-bahn chemnitz
10–,,city-bahn chemnitz
11–,,city-bahn chemnitz
16–,,city-bahn chemnitz
21–,,city-bahn chemnitz
26–,,city-bahn chemnitz
31–,,city-bahn chemnitz
46–,,city-bahn chemnitz
61–,,city-bahn chemnitz
76–,,city-bahn chemnitz
91–,,city-bahn chemnitz
substituted,1.34%,db fernverkehr ag
-5–,,db fernverkehr ag
-4–,,db fernverkehr ag
-3–,,db fernverkehr ag
-2–,0.00131%,db fernverkehr ag
-1–,,db fernverkehr ag
0–,25.8%,db fernverkehr ag
1–,19.6%,db fernverkehr ag
2–,11.0%,db fernverkehr ag
3–,6.81%,db fernverkehr ag
4–,3.10%,db fernverkehr ag
5–,2.71%,db fernverkehr ag
6–,1.98%,db fernverkehr ag
7–,1.58%,db fernverkehr ag
8–,1.46%,db fernverkehr ag
9–,1.28%,db fernverkehr ag
10–,1.40%,db fernverkehr ag
11–,4.47%,db fernverkehr ag
16–,3.11%,db fernverkehr ag
21–,2.19%,db fernverkehr ag
26–,1.76%,db fernverkehr ag
31–,2.89%,db fernverkehr ag
46–,1.34%,db fernverkehr ag
61–,0.623%,db fernverkehr ag
76–,0.420%,db fernverkehr ag
91–,0.670%,db fernverkehr ag
cancelled,4.45%,db fernverkehr ag
substituted,0.117%,db regio ag bayern
-5–,,db regio ag bayern
-4–,,db regio ag bayern
-3–,,db regio ag bayern
-2–,,db regio ag bayern
-1–,,db regio ag bayern
0–,35.2%,db regio ag bayern
1–,30.2%,db regio ag bayern
2–,9.03%,db regio ag bayern
3–,6.68%,db regio ag bayern
4–,4.88%,db regio ag bayern
5–,3.18%,db regio ag bayern
6–,2.11%,db regio ag bayern
7–,1.42%,db regio ag bayern
8–,1.05%,db regio ag bayern
9–,0.746%,db regio ag bayern
10–,0.675%,db regio ag bayern
11–,1.56%,db regio ag bayern
16–,0.716%,db regio ag bayern
21–,0.313%,db regio ag bayern
26–,0.146%,db regio ag bayern
31–,0.150%,db regio ag bayern
46–,0.0298%,db regio ag bayern
61–,0.0116%,db regio ag bayern
76–,0.00579%,db regio ag bayern
91–,0.0108%,db regio ag bayern
cancelled,1.79%,db regio ag bayern
substituted,0.464%,db regio ag nord
-5–,,db regio ag nord
-4–,,db regio ag nord
-3–,,db regio ag nord
-2–,,db regio ag nord
-1–,,db regio ag nord
0–,55.4%,db regio ag nord
1–,18.8%,db regio ag nord
2–,5.51%,db regio ag nord
3–,2.85%,db regio ag nord
4–,2.85%,db regio ag nord
5–,2.39%,db regio ag nord
6–,1.13%,db regio ag nord
7–,0.697%,db regio ag nord
8–,0.697%,db regio ag nord
9–,0.597%,db regio ag nord
10–,1.03%,db regio ag nord
11–,1.33%,db regio ag nord
16–,1.29%,db regio ag nord
21–,0.332%,db regio ag nord
26–,0.464%,db regio ag nord
31–,0.332%,db regio ag nord
46–,0.0663%,db regio ag nord
61–,0.0663%,db regio ag nord
76–,0.0663%,db regio ag nord
91–,,db regio ag nord
cancelled,3.71%,db regio ag nord
substituted,0.0780%,db regio ag nordost
-5–,,db regio ag nordost
-4–,,db regio ag nordost
-3–,,db regio ag nordost
-2–,,db regio ag nordost
-1–,,db regio ag nordost
0–,47.4%,db regio ag nordost
1–,21.1%,db regio ag nordost
2–,8.26%,db regio ag nordost
3–,5.35%,db regio ag nordost
4–,3.07%,db regio ag nordost
5–,2.30%,db regio ag nordost
6–,1.54%,db regio ag nordost
7–,1.31%,db regio ag nordost
8–,0.942%,db regio ag nordost
9–,0.864%,db regio ag nordost
10–,0.762%,db regio ag nordost
11–,2.26%,db regio ag nordost
16–,1.20%,db regio ag nordost
21–,0.594%,db regio ag nordost
26–,0.336%,db regio ag nordost
31–,0.444%,db regio ag nordost
46–,0.228%,db regio ag nordost
61–,0.0480%,db regio ag nordost
76–,0.0540%,db regio ag nordost
91–,0.0180%,db regio ag nordost
cancelled,1.84%,db regio ag nordost
substituted,0.130%,db regio ag nrw
-5–,,db regio ag nrw
-4–,,db regio ag nrw
-3–,,db regio ag nrw
-2–,,db regio ag nrw
-1–,,db regio ag nrw
0–,27.9%,db regio ag nrw
1–,34.8%,db regio ag nrw
2–,11.6%,db regio ag nrw
3–,5.83%,db regio ag nrw
4–,3.62%,db regio ag nrw
5–,2.72%,db regio ag nrw
6–,1.83%,db regio ag nrw
7–,1.38%,db regio ag nrw
8–,1.05%,db regio ag nrw
9–,0.896%,db regio ag nrw
10–,0.880%,db regio ag nrw
11–,2.39%,db regio ag nrw
16–,1.06%,db regio ag nrw
21–,0.454%,db regio ag nrw
26–,0.238%,db regio ag nrw
31–,0.265%,db regio ag nrw
46–,0.0851%,db regio ag nrw
61–,0.0149%,db regio ag nrw
76–,0.00789%,db regio ag nrw
91–,0.0123%,db regio ag nrw
cancelled,2.82%,db regio ag nrw
substituted,0.0600%,db regio ag südost
-5–,,db regio ag südost
-4–,,db regio ag südost
-3–,,db regio ag südost
-2–,,db regio ag südost
-1–,,db regio ag südost
0–,60.5%,db regio ag südost
1–,22.8%,db regio ag südost
2–,6.14%,db regio ag südost
3–,2.28%,db regio ag südost
4–,1.46%,db regio ag südost
5–,0.959%,db regio ag südost
6–,0.819%,db regio ag südost
7–,0.580%,db regio ag südost
8–,0.520%,db regio ag südost
9–,0.380%,db regio ag südost
10–,0.280%,db regio ag südost
11–,0.639%,db regio ag südost
16–,0.140%,db regio ag südost
21–,0.300%,db regio ag südost
26–,0.180%,db regio ag südost
31–,0.140%,db regio ag südost
46–,0.0200%,db regio ag südost
61–,0.0200%,db regio ag südost
76–,0.0200%,db regio ag südost
91–,,db regio ag südost
cancelled,1.74%,db regio ag südost
substituted,,db regionetz verkehrs gmbh kurhessenbahn
-5–,,db regionetz verkehrs gmbh kurhessenbahn
-4–,,db regionetz verkehrs gmbh kurhessenbahn
-3–,,db regionetz verkehrs gmbh kurhessenbahn
-2–,,db regionetz verkehrs gmbh kurhessenbahn
-1–,,db regionetz verkehrs gmbh kurhessenbahn
0–,53.2%,db regionetz verkehrs gmbh kurhessenbahn
1–,29.1%,db regionetz verkehrs gmbh kurhessenbahn
2–,8.23%,db regionetz verkehrs gmbh kurhessenbahn
3–,3.16%,db regionetz verkehrs gmbh kurhessenbahn
4–,3.16%,db regionetz verkehrs gmbh kurhessenbahn
5–,0.633%,db regionetz verkehrs gmbh kurhessenbahn
6–,0.633%,db regionetz verkehrs gmbh kurhessenbahn
7–,,db regionetz verkehrs gmbh kurhessenbahn
8–,,db regionetz verkehrs gmbh kurhessenbahn
9–,,db regionetz verkehrs gmbh kurhessenbahn
10–,,db regionetz verkehrs gmbh kurhessenbahn
11–,,db regionetz verkehrs gmbh kurhessenbahn
16–,,db regionetz verkehrs gmbh kurhessenbahn
21–,,db regionetz verkehrs gmbh kurhessenbahn
26–,,db regionetz verkehrs gmbh kurhessenbahn
31–,,db regionetz verkehrs gmbh kurhessenbahn
46–,0.633%,db regionetz verkehrs gmbh kurhessenbahn
61–,,db regionetz verkehrs gmbh kurhessenbahn
76–,,db regionetz verkehrs gmbh kurhessenbahn
91–,,db regionetz verkehrs gmbh kurhessenbahn
