STRUCTURE,STRUCTURE_ID,freq,unit,indic_il,deg_urb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,NL,2021,28102,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,NL,2022,29270,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,NO,2021,36795,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,NO,2022,40616,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,PL,2021,9448,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,PL,2022,10201,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,PT,2021,12114,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,PT,2022,12047,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,RO,2021,6835,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,RO,2022,7391,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,RS,2021,4752,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,SE,2021,26621,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,SE,2022,28287,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,SI,2021,16165,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,SI,2022,16549,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,SK,2021,9430,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,SK,2022,9988,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,AT,2021,26753,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,AT,2022,26322,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,BE,2021,24115,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,BE,2022,25111,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,BG,2021,6081,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,BG,2022,6485,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,CH,2021,46747,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,CY,2021,18498,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,CY,2022,19696,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,CZ,2021,11671,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,CZ,2022,13075,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,DE,2021,24810,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,DE,2022,25103,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,DK,2021,31425,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,DK,2022,32426,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EA,2021,21297,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EA19,2021,21297,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EA20,2021,21180,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EA20,2022,21799,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EE,2021,13230,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EE,2022,15288,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EL,2021,9810,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EL,2022,10320,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,ES,2021,17658,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,ES,2022,18511,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EU27_2020,2021,19372,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,EU27_2020,2022,20058,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,FI,2021,26470,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,FI,2022,27777,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,FR,2021,23687,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,FR,2022,23840,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,HR,2021,9161,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,HR,2022,9768,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,HU,2021,7581,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,HU,2022,7605,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,IE,2021,31699,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,IE,2022,33088,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,IT,2021,18784,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,IT,2022,19705,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,LT,2021,11101,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,LT,2022,11347,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,LU,2021,53010,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,LU,2022,54464,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,LV,2021,9889,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,LV,2022,10973,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,MT,2021,16190,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,MT,2022,16884,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,NL,2021,27725,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,NL,2022,28738,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,NO,2021,37069,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,NO,2022,40616,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,PL,2021,9361,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,PL,2022,10259,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,PT,2021,12148,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,PT,2022,12181,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,RO,2021,6775,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,RO,2022,7456,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,RS,2021,4824,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,SE,2021,27021,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,SE,2022,28565,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,SI,2021,16099,
