STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE35,2022,67.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG,2021,73.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG,2022,75.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG3,2021,70.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG3,2022,73.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG31,2021,64.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG31,2022,66.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG32,2021,71.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG32,2022,73.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG33,2021,72.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG33,2022,76.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG34,2021,71.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG34,2022,74.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG4,2021,75.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG4,2022,78.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG41,2021,78.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG41,2022,81.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG42,2021,70.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG42,2022,72.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH,2021,81.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH,2022,81.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH0,2021,81.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH0,2022,81.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH01,2021,76.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH01,2022,76.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH02,2021,83.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH02,2022,83.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH03,2021,82.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH03,2022,82.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH04,2021,83.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH04,2022,83.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH05,2021,83.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH05,2022,83.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH06,2021,85.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH06,2022,86.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH07,2021,73.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH07,2022,73.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CY,2021,75.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CY,2022,77.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CY0,2021,75.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CY0,2022,77.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CY00,2021,75.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CY00,2022,77.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ,2021,80.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ,2022,81.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ0,2021,80.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ0,2022,81.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ01,2021,82.4,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ01,2022,84.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ02,2021,81.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ02,2022,83.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ03,2021,81.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ03,2022,82.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ04,2021,77.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ04,2022,79.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ05,2021,80.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ05,2022,80.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ06,2021,80.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ06,2022,81.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ07,2021,78.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ07,2022,80.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ08,2021,76.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CZ08,2022,78.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE,2021,79.4,b
