STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DK05,2022,78.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EE,2021,79.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EE,2022,81.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EE0,2021,79.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EE0,2022,81.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EE00,2021,79.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EE00,2022,81.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL,2021,62.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL,2022,66.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL3,2021,65.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL3,2022,69.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL30,2021,65.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL30,2022,69.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL4,2021,61.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL4,2022,67.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL41,2021,64.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL41,2022,67.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL42,2021,58.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL42,2022,64.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL43,2021,63.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL43,2022,68.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL5,2021,59.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL5,2022,63.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL51,2021,59.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL51,2022,62.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL52,2021,59.4,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL52,2022,63.6,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL53,2021,58.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL53,2022,58.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL54,2021,55.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL54,2022,63.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL6,2021,62.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL6,2022,65.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL61,2021,62.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL61,2022,64.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL62,2021,61.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL62,2022,64.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL63,2021,59.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL63,2022,62.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL64,2021,61.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL64,2022,66.6,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL65,2021,67.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,EL65,2022,68.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES,2021,67.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES,2022,69.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES1,2021,67.3,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES1,2022,68.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES11,2021,67.9,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES11,2022,69.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES12,2021,65.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES12,2022,64.4,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES13,2021,68.8,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES13,2022,70.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES2,2021,72.6,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES2,2022,74.1,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES21,2021,72.1,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES21,2022,73.9,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES22,2021,72.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES22,2022,73.7,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES23,2021,73.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES23,2022,75.1,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES24,2021,73.3,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES24,2022,74.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES3,2021,74.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES3,2022,74.6,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES30,2021,74.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES30,2022,74.6,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES4,2021,66.9,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES4,2022,69.1,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES41,2021,69.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES41,2022,72.4,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES42,2021,66.8,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES42,2022,68.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES43,2021,61.3,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES43,2022,63.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES5,2021,70.3,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES5,2022,72.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES51,2021,73.1,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES51,2022,74.4,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES52,2021,66.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES52,2022,69.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES53,2021,69.3,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES53,2022,73.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES6,2021,60.6,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES6,2022,62.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES61,2021,59.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES61,2022,61.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES62,2021,67.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES62,2022,67.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES63,2021,53.9,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES63,2022,57.1,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES64,2021,61.6,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES64,2022,60.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES7,2021,58.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES7,2022,63.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES70,2021,58.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,ES70,2022,63.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI,2021,76.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI,2022,78.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI1,2021,76.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI1,2022,78.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI19,2021,76.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI19,2022,78.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI1B,2021,79.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI1B,2022,80.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI1C,2021,76.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI1C,2022,77.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI1D,2021,73.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI1D,2022,75.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI2,2021,89.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI2,2022,89.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI20,2021,89.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FI20,2022,89.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FR,2021,73.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FR,2022,74.0,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FR1,2021,76.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FR1,2022,76.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FR10,2021,76.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FR10,2022,76.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRB,2021,74.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRB,2022,74.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRB0,2021,74.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRB0,2022,74.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRC,2021,73.9,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRC,2022,76.4,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRC1,2021,74.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRC1,2022,75.7,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRC2,2021,73.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRC2,2022,77.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRD,2021,74.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRD,2022,74.4,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRD1,2021,73.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRD1,2022,74.6,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRD2,2021,74.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRD2,2022,74.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRE,2021,68.6,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRE,2022,69.1,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRE1,2021,68.5,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRE1,2022,68.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRE2,2021,68.8,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRE2,2022,70.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRF,2021,71.1,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRF,2022,73.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRF1,2021,75.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRF1,2022,76.6,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRF2,2021,69.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRF2,2022,72.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRF3,2021,68.9,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRF3,2022,71.1,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRG,2021,77.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRG,2022,77.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRG0,2021,77.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRG0,2022,77.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRH,2021,75.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRH,2022,74.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRH0,2021,75.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRH0,2022,74.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRI,2021,73.9,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRI,2022,74.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRI1,2021,75.1,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRI1,2022,75.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRI2,2021,74.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRI2,2022,73.0,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRI3,2021,71.6,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRI3,2022,73.7,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRJ,2021,70.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRJ,2022,73.2,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRJ1,2021,67.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRJ1,2022,70.4,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRJ2,2021,73.8,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRJ2,2022,75.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRK,2021,75.1,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRK,2022,76.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRK1,2021,73.9,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRK1,2022,74.0,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRK2,2021,75.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRK2,2022,76.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRL,2021,72.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRL,2022,72.7,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRL0,2021,72.0,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRL0,2022,72.7,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRM,2021,69.6,bdu
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRM,2022,70.9,du
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRM0,2021,69.6,bdu
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRM0,2022,70.9,du
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY,2021,56.1,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY,2022,56.3,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY1,2021,57.7,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY1,2022,56.8,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY2,2021,62.2,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY2,2022,63.6,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY3,2021,49.4,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY3,2022,50.5,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY4,2021,54.8,bd
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,FRY4,2022,54.9,d
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR,2021,68.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR,2022,69.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR0,2021,68.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR0,2022,69.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR02,2021,63.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR02,2022,62.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR03,2021,65.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR03,2022,69.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR05,2021,76.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR05,2022,76.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR06,2021,70.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HR06,2022,73.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU,2021,78.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU,2022,80.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU1,2021,82.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU1,2022,83.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU11,2021,82.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU11,2022,84.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU12,2021,82.4,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU12,2022,82.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU2,2021,79.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU2,2022,80.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU21,2021,81.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU21,2022,83.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU22,2021,82.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU22,2022,82.6,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU23,2021,72.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU23,2022,75.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU3,2021,75.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU3,2022,76.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU31,2021,72.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU31,2022,75.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU32,2021,74.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU32,2022,76.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU33,2021,78.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,HU33,2022,78.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE,2021,74.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE,2022,78.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE0,2021,74.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE0,2022,78.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE04,2021,74.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE04,2022,77.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE05,2021,72.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE05,2022,77.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE06,2021,76.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IE06,2022,79.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IS,2021,81.4,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,IS,2022,84.8,
