age,nuts2,employment_rate
Y20-64,PL82,68.7
Y20-64,PL84,77.7
Y20-64,PL91,85.4
Y20-64,PL92,76.2
Y20-64,PT11,76.4
Y20-64,PT15,79.7
Y20-64,PT16,78.5
Y20-64,PT17,78.3
Y20-64,PT18,78.8
Y20-64,PT20,72.3
Y20-64,PT30,72.6
Y20-64,RO11,72.2
Y20-64,RO12,67.6
Y20-64,RO21,69.4
Y20-64,RO22,63.4
Y20-64,RO31,65.8
Y20-64,RO32,79.9
Y20-64,RO41,61.8
Y20-64,RO42,65.2
Y20-64,RS11,73.9
Y20-64,RS12,69.3
Y20-64,RS21,68.9
Y20-64,RS22,64.1
Y20-64,SE11,85.1
Y20-64,SE12,78.1
Y20-64,SE21,83.9
Y20-64,SE22,79.3
Y20-64,SE23,83.6
Y20-64,SE31,81.4
Y20-64,SE32,83.5
Y20-64,SE33,81.6
Y20-64,SI03,76.0
Y20-64,SI04,80.1
Y20-64,SK01,84.5
Y20-64,SK02,78.3
Y20-64,SK03,76.7
Y20-64,SK04,71.3
Y_GE65,AT11,
Y_GE65,AT12,4.2
Y_GE65,AT13,5.7
Y_GE65,AT21,4.3
Y_GE65,AT22,5.1
Y_GE65,AT31,4.8
Y_GE65,AT32,7.2
Y_GE65,AT33,5.0
Y_GE65,AT34,6.4
Y_GE65,BE10,4.9
Y_GE65,BE21,3.1
Y_GE65,BE22,3.8
Y_GE65,BE23,3.2
Y_GE65,BE24,3.0
Y_GE65,BE25,3.4
Y_GE65,BE31,4.0
Y_GE65,BE32,1.3
Y_GE65,BE33,2.8
Y_GE65,BE34,4.2
Y_GE65,BE35,3.2
Y_GE65,BG31,5.2
Y_GE65,BG32,5.6
Y_GE65,BG33,6.2
Y_GE65,BG34,7.1
Y_GE65,BG41,7.1
Y_GE65,BG42,7.1
Y_GE65,CH01,8.1
Y_GE65,CH02,9.7
Y_GE65,CH03,10.2
Y_GE65,CH04,11.1
Y_GE65,CH05,11.5
Y_GE65,CH06,12.9
Y_GE65,CH07,7.6
Y_GE65,CY00,10.8
Y_GE65,CZ01,12.1
Y_GE65,CZ02,6.3
Y_GE65,CZ03,7.9
Y_GE65,CZ04,6.2
Y_GE65,CZ05,6.5
Y_GE65,CZ06,6.8
Y_GE65,CZ07,5.0
Y_GE65,CZ08,5.1
Y_GE65,DE11,10.5
Y_GE65,DE12,9.7
Y_GE65,DE13,11.5
Y_GE65,DE14,12.1
Y_GE65,DE21,10.5
Y_GE65,DE22,9.2
Y_GE65,DE23,9.1
Y_GE65,DE24,7.4
Y_GE65,DE25,7.2
Y_GE65,DE26,8.8
Y_GE65,DE27,6.4
Y_GE65,DE30,7.2
Y_GE65,DE40,6.0
Y_GE65,DE50,
Y_GE65,DE60,9.0
Y_GE65,DE71,8.7
Y_GE65,DE72,10.4
Y_GE65,DE73,8.6
Y_GE65,DE80,6.0
Y_GE65,DE91,8.8
Y_GE65,DE92,8.8
Y_GE65,DE93,10.5
Y_GE65,DE94,8.9
Y_GE65,DEA1,8.5
Y_GE65,DEA2,8.8
Y_GE65,DEA3,9.3
Y_GE65,DEA4,8.4
Y_GE65,DEA5,6.9
Y_GE65,DEB1,11.2
Y_GE65,DEB2,
Y_GE65,DEB3,7.8
Y_GE65,DEC0,7.6
Y_GE65,DED2,5.1
Y_GE65,DED4,5.5
Y_GE65,DED5,
Y_GE65,DEE0,4.3
Y_GE65,DEF0,9.4
Y_GE65,DEG0,6.5
Y_GE65,DK01,12.5
Y_GE65,DK02,9.4
Y_GE65,DK03,10.2
Y_GE65,DK04,11.1
Y_GE65,DK05,8.7
Y_GE65,EE00,16.7
Y_GE65,EL30,4.2
Y_GE65,EL41,7.0
Y_GE65,EL42,3.4
Y_GE65,EL43,5.7
Y_GE65,EL51,4.5
Y_GE65,EL52,3.1
Y_GE65,EL53,3.5
Y_GE65,EL54,3.3
Y_GE65,EL61,7.2
Y_GE65,EL62,6.1
Y_GE65,EL63,5.3
Y_GE65,EL64,4.4
Y_GE65,EL65,6.8
Y_GE65,ES11,2.7
Y_GE65,ES12,2.6
Y_GE65,ES13,3.4
Y_GE65,ES21,2.7
Y_GE65,ES22,2.6
Y_GE65,ES23,4.1
Y_GE65,ES24,2.8
Y_GE65,ES30,4.9
Y_GE65,ES41,2.9
Y_GE65,ES42,2.9
Y_GE65,ES43,2.0
Y_GE65,ES51,3.3
Y_GE65,ES52,3.3
Y_GE65,ES53,5.3
Y_GE65,ES61,2.9
Y_GE65,ES62,3.8
Y_GE65,ES63,
Y_GE65,ES64,
Y_GE65,ES70,3.5
Y_GE65,FI19,10.4
Y_GE65,FI1B,10.0
Y_GE65,FI1C,8.7
Y_GE65,FI1D,7.8
Y_GE65,FI20,
Y_GE65,FR10,6.4
Y_GE65,FRB0,2.1
Y_GE65,FRC1,4.7
Y_GE65,FRC2,3.9
Y_GE65,FRD1,4.5
Y_GE65,FRD2,2.3
Y_GE65,FRE1,2.8
Y_GE65,FRE2,3.1
Y_GE65,FRF1,2.9
Y_GE65,FRF2,3.8
Y_GE65,FRF3,2.8
Y_GE65,FRG0,2.1
Y_GE65,FRH0,3.6
Y_GE65,FRI1,3.5
Y_GE65,FRI2,4.4
Y_GE65,FRI3,3.1
