STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE2,2020,41.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE2,2021,42.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE21,2020,9.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE21,2021,9.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE211,2020,2.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE211,2021,2.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE212,2020,2.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE212,2021,2.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE213,2020,5.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE213,2021,5.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE22,2020,6.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE22,2021,6.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE223,2020,2.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE223,2021,2.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE224,2020,2.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE224,2021,2.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE225,2020,1.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE225,2021,1.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE23,2020,8.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE23,2021,8.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE231,2020,0.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE231,2021,0.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE232,2020,1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE232,2021,1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE233,2020,1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE233,2021,1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE234,2020,3.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE234,2021,3.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE235,2020,0.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE235,2021,0.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE236,2020,1.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE236,2021,1.7,p
